feature,importance
lag_168h,398
diff_168h,394
diff_1h,223
lag_1h,186
diff_24h,86
lag_24h,45
rolling_mean_24h,25
lag_2h,22
hour,21
hour_cos,18
month_cos,17
day_of_week,9
hour_sin,8
rolling_mean_168h,8
lag_48h,6
rolling_mean_6h,5
month,5
is_weekend,3
rolling_mean_12h,2
month_sin,2
day_of_month,2
dow_sin,1
lag_12h,1
rolling_std_12h,1
year,0
quarter,0
is_friday,0
is_monday,0
week_of_year,0
dow_cos,0
lag_3h,0
is_post_holiday,0
is_holiday,0
is_holiday_eve,0
rolling_std_6h,0
lag_6h,0
rolling_std_24h,0
rolling_std_168h,0
